('Total Revenue', 'Total Revenue', '281,724,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         961436 function calls (935804 primitive calls) in 13.069 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.047    0.047 firefox_profile.py:1(<module>)
      308    0.047    0.000    0.047    0.000 {built-in method marshal.loads}
9357/9262    0.013    0.000    0.044    0.000 typing.py:392(inner)
      348    0.001    0.000    0.042    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
      348    0.002    0.000    0.042    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
        1    0.000    0.000    0.041    0.041 _base_connection.py:1(<module>)
        1    0.000    0.000    0.040    0.040 client.py:1(<module>)
       13    0.000    0.000    0.040    0.003 typing_extensions.py:2894(__call__)
        1    0.000    0.000    0.039    0.039 firefox_profile.py:43(FirefoxProfile)
      615    0.009    0.000    0.035    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
        2    0.000    0.000    0.034    0.017 parser.py:1(<module>)
        1    0.000    0.000    0.033    0.033 ssl_.py:1(<module>)
        1    0.000    0.000    0.031    0.031 css_parser.py:326(__init__)
     4338    0.008    0.000    0.031    0.000 parser.py:364(check_for_whole_start_tag)
        1    0.000    0.000    0.031    0.031 url.py:1(<module>)
     4338    0.015    0.000    0.030    0.000 __init__.py:953(_popToTag)
     3520    0.012    0.000    0.030    0.000 __init__.py:870(object_was_parsed)
        1    0.000    0.000    0.027    0.027 base_events.py:1(<module>)
        6    0.000    0.000    0.027    0.004 element.py:2740(find_all)
        6    0.000    0.000    0.027    0.004 element.py:1080(_find_all)
       16    0.000    0.000    0.027    0.002 css_parser.py:1149(process_selectors)
    56/16    0.001    0.000    0.027    0.002 css_parser.py:925(parse_selectors)
        6    0.000    0.000    0.026    0.004 filter.py:164(find_all)
       45    0.004    0.000    0.026    0.001 filter.py:130(filter)
        1    0.000    0.000    0.026    0.026 feedparser.py:1(<module>)
    16730    0.015    0.000    0.025    0.000 _markupbase.py:44(updatepos)
        1    0.000    0.000    0.025    0.025 websocket_connection.py:1(<module>)
  284/189    0.000    0.000    0.024    0.000 typing.py:508(__getitem__)
        1    0.000    0.000    0.023    0.023 _policybase.py:1(<module>)
        1    0.000    0.000    0.023    0.023 connectionpool.py:1(<module>)
    95772    0.023    0.000    0.023    0.000 {method 'append' of 'list' objects}
     3520    0.012    0.000    0.022    0.000 element.py:1292(__new__)
  341/338    0.001    0.000    0.022    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      189    0.002    0.000    0.022    0.000 typing.py:687(Union)
        3    0.000    0.000    0.021    0.007 element.py:2709(find)
    11379    0.021    0.000    0.021    0.000 element.py:377(setup)
       21    0.000    0.000    0.020    0.001 dataclasses.py:1240(dataclass)
       21    0.000    0.000    0.020    0.001 dataclasses.py:1257(wrap)
        1    0.000    0.000    0.020    0.020 _request_methods.py:1(<module>)
       21    0.001    0.000    0.020    0.001 dataclasses.py:921(_process_class)
        4    0.000    0.000    0.020    0.005 utils.py:1(<module>)
    29062    0.013    0.000    0.020    0.000 _parser.py:168(__getitem__)
    44/32    0.000    0.000    0.020    0.001 css_parser.py:579(parse_pseudo_class)
      308    0.002    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
    40/31    0.000    0.000    0.020    0.001 css_parser.py:746(parse_pseudo_open)
75755/69512    0.017    0.000    0.019    0.000 {built-in method builtins.len}
      825    0.013    0.000    0.019    0.000 _compiler.py:243(_optimize_charset)
        1    0.000    0.000    0.018    0.018 _app.py:1(<module>)
65742/65724    0.017    0.000    0.018    0.000 {built-in method builtins.isinstance}
    13/12    0.000    0.000    0.018    0.001 <frozen importlib._bootstrap_external>:1295(exec_module)
    13/12    0.007    0.001    0.017    0.001 {built-in method _imp.exec_dynamic}
     6004    0.004    0.000    0.017    0.000 filter.py:725(match)
        9    0.000    0.000    0.017    0.002 options.py:1(<module>)
    12445    0.017    0.000    0.017    0.000 {method 'search' of 're.Pattern' objects}
        3    0.000    0.000    0.017    0.006 response.py:1(<module>)
     3520    0.009    0.000    0.016    0.000 __init__.py:735(string_container)
    19707    0.016    0.000    0.016    0.000 {method 'group' of 're.Match' objects}
 5373/339    0.009    0.000    0.016    0.000 _parser.py:178(getwidth)
     4339    0.013    0.000    0.016    0.000 __init__.py:812(pushTag)
        1    0.000    0.000    0.015    0.015 api.py:1(<module>)
      294    0.003    0.000    0.015    0.000 typing.py:1242(__init__)
        2    0.000    0.000    0.015    0.007 connection.py:1(<module>)
        1    0.000    0.000    0.015    0.015 cd.py:1(<module>)
      375    0.001    0.000    0.015    0.000 <frozen importlib._bootstrap>:416(__enter__)
      178    0.001    0.000    0.015    0.000 _compiler.py:511(_compile_info)
        1    0.000    0.000    0.014    0.014 _lxml.py:1(<module>)
      519    0.005    0.000    0.014    0.000 <frozen importlib._bootstrap>:304(acquire)
    15745    0.009    0.000    0.014    0.000 _parser.py:261(get)
     1452    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        1    0.000    0.000    0.014    0.014 _core.py:1(<module>)
        1    0.000    0.000    0.014    0.014 input.py:1(<module>)
        1    0.000    0.000    0.013    0.013 css_match.py:1(<module>)
       95    0.001    0.000    0.013    0.000 typing.py:740(Optional)
       63    0.001    0.000    0.013    0.000 dataclasses.py:449(_create_fn)
        1    0.000    0.000    0.013    0.013 _handshake.py:1(<module>)
      156    0.000    0.000    0.013    0.000 _parser.py:98(closegroup)
     3251    0.004    0.000    0.012    0.000 filter.py:539(matches_tag)
      341    0.002    0.000    0.012    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
    28431    0.012    0.000    0.012    0.000 {method 'get' of 'dict' objects}
     6363    0.002    0.000    0.012    0.000 {built-in method builtins.next}
      616    0.004    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
     4338    0.010    0.000    0.011    0.000 __init__.py:789(popTag)
4600/4530    0.008    0.000    0.011    0.000 {built-in method __new__ of type object at 0xa44b40}
        1    0.000    0.000    0.011    0.011 action_chains.py:1(<module>)
    11888    0.010    0.000    0.010    0.000 {method 'count' of 'str' objects}
     3373    0.006    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
      308    0.010    0.000    0.010    0.000 {built-in method _io.open_code}
    23221    0.009    0.000    0.009    0.000 {method 'lower' of 'str' objects}
       20    0.004    0.000    0.009    0.000 enum.py:1708(convert_class)
    18355    0.009    0.000    0.009    0.000 {method 'startswith' of 'str' objects}
    24502    0.009    0.000    0.009    0.000 _parser.py:240(__next)
       13    0.001    0.000    0.009    0.001 enum.py:919(_convert_)
        1    0.000    0.000    0.009    0.009 client_config.py:1(<module>)
        1    0.000    0.000    0.009    0.009 _typing.py:1(<module>)
        1    0.000    0.000    0.009    0.009 models.py:1(<module>)
      629    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap>:632(cached)
        1    0.000    0.000    0.008    0.008 ssl.py:1(<module>)
      321    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
        1    0.000    0.000    0.008    0.008 action_builder.py:1(<module>)
     3528    0.004    0.000    0.008    0.000 _htmlparser.py:222(handle_data)
        1    0.000    0.000    0.008    0.008 _htmlparser.py:1(<module>)
       79    0.001    0.000    0.008    0.000 css_parser.py:472(parse_attribute_selector)
     3418    0.008    0.000    0.008    0.000 {method 'findall' of 're.Pattern' objects}
    13009    0.005    0.000    0.008    0.000 _parser.py:256(match)
      687    0.003    0.000    0.008    0.000 typing.py:175(_type_check)
    23803    0.008    0.000    0.008    0.000 {method 'end' of 're.Match' objects}
        1    0.000    0.000    0.008    0.008 script.py:1(<module>)
     2034    0.007    0.000    0.008    0.000 __init__.py:909(_linkage_fixer)
        1    0.000    0.000    0.008    0.008 staggered.py:1(<module>)
        1    0.000    0.000    0.008    0.008 _cookiejar.py:1(<module>)
        4    0.000    0.000    0.007    0.002 __init__.py:299(loads)
      341    0.002    0.000    0.007    0.000 css_parser.py:1108(selector_iter)
        3    0.000    0.000    0.007    0.002 utils.py:26(load_json)
        4    0.000    0.000    0.007    0.002 decoder.py:332(decode)
        4    0.007    0.002    0.007    0.002 decoder.py:343(raw_decode)
      311    0.006    0.000    0.007    0.000 {method 'read' of '_io.BufferedReader' objects}
      519    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap>:162(__enter__)
        1    0.000    0.000    0.007    0.007 core.py:1(<module>)
    13/11    0.000    0.000    0.007    0.001 <frozen importlib._bootstrap_external>:1287(create_module)
    13/11    0.005    0.000    0.007    0.001 {built-in method _imp.create_dynamic}
     1882    0.004    0.000    0.007    0.000 typing.py:1188(__setattr__)
       39    0.001    0.000    0.007    0.000 enum.py:528(__new__)
        1    0.000    0.000    0.006    0.006 cookies.py:1(<module>)
     7294    0.005    0.000    0.006    0.000 _parser.py:176(append)
      776    0.002    0.000    0.006    0.000 filter.py:617(_attribute_match)
       21    0.000    0.000    0.006    0.000 dataclasses.py:568(_init_fn)
    12400    0.004    0.000    0.006    0.000 _parser.py:164(__len__)
      606    0.002    0.000    0.006    0.000 typing.py:723(<genexpr>)
        1    0.000    0.000    0.006    0.006 financial_enhanced.py:12(find_row_values)
      116    0.003    0.000    0.006    0.000 _compiler.py:467(_get_charset_prefix)
      496    0.004    0.000    0.006    0.000 css_types.py:41(__init__)
        1    0.000    0.000    0.006    0.006 _common.py:1(<module>)
        6    0.000    0.000    0.006    0.001 service.py:123(is_connectable)
        1    0.000    0.000    0.005    0.005 events.py:1(<module>)
        1    0.000    0.000    0.005    0.005 css_types.py:1(<module>)
        6    0.000    0.000    0.005    0.001 utils.py:109(is_connectable)
     8564    0.005    0.000    0.005    0.000 {method 'join' of 'str' objects}
  142/137    0.001    0.000    0.005    0.000 css_parser.py:395(freeze)
        6    0.000    0.000    0.005    0.001 socket.py:810(create_connection)
      447    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
    14353    0.005    0.000    0.005    0.000 {built-in method builtins.min}
      488    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        1    0.000    0.000    0.005    0.005 socket.py:1(<module>)
       20    0.002    0.000    0.005    0.000 __init__.py:355(namedtuple)
      298    0.001    0.000    0.005    0.000 typing.py:1147(__init__)
      144    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
     4338    0.003    0.000    0.005    0.000 element.py:1821(is_empty_element)
        1    0.000    0.000    0.005    0.005 parse.py:1(<module>)
      298    0.001    0.000    0.005    0.000 typing_extensions.py:3177(_collect_parameters)
      519    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap>:124(setdefault)
        1    0.000    0.000    0.005    0.005 tempfile.py:1(<module>)
       91    0.001    0.000    0.005    0.000 <frozen abc>:105(__new__)
        1    0.000    0.000    0.004    0.004 pretty.py:1(<module>)
        2    0.000    0.000    0.004    0.002 subprocess.py:1(<module>)
        7    0.000    0.000    0.004    0.001 socket.py:946(getaddrinfo)
      616    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
     8565    0.004    0.000    0.004    0.000 {method 'endswith' of 'str' objects}
    10114    0.004    0.000    0.004    0.000 __init__.py:122(unescape)
        7    0.002    0.000    0.004    0.001 {built-in method _socket.getaddrinfo}
       21    0.000    0.000    0.004    0.000 dataclasses.py:627(_repr_fn)
      708    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
        1    0.000    0.000    0.004    0.004 typing_extensions.py:1(<module>)
       21    0.000    0.000    0.004    0.000 dataclasses.py:661(_cmp_fn)
      321    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
     3534    0.003    0.000    0.004    0.000 __init__.py:1068(handle_data)
     4529    0.002    0.000    0.004    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.004    0.004 tasks.py:1(<module>)
     2585    0.001    0.000    0.004    0.000 css_parser.py:317(match)
      519    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
        1    0.000    0.000    0.004    0.004 _http.py:1(<module>)
       58    0.000    0.000    0.004    0.000 typing.py:1449(__getitem__)
        6    0.000    0.000    0.004    0.001 typing.py:2780(__new__)
